year,month,generation (mwh),elec fuel co2 (kg),final co2 (kg),index (g/kwh),datetime,quarter,index (lb/mwh),change since 2005
2001,1,332483912.02000004,211062656823.8329,214592901195.1193,645.423412794213,2001-01-01,1,1422.9004558461222,0.07726704451725917
2001,2,282940199.01,176265795436.37463,179944169497.54108,635.9795113142663,2001-02-01,1,1402.0804306434316,0.061504362788732996
2001,3,300706545.01000005,186065993327.7813,188724234737.954,627.6026839777563,2001-03-01,1,1383.6128770973617,0.04752271934607286
2001,4,278078103.0,171756470908.64038,174497697759.13858,627.5132629164209,2001-04-01,2,1383.4157394255417,0.047373467923591345
2001,5,300485702.02,185981664592.41208,188808504317.49658,628.3443872644885,2001-05-01,2,1385.2480361632915,0.048760685759698316
2001,6,327693488.02000004,201577804168.02216,204791605486.63727,624.9486577351158,2001-06-01,2,1377.7618108428364,0.04309292186769696
2001,7,357589591.0,226046345970.72693,229419279837.34442,641.5714707907827,2001-07-01,3,1414.4084645053595,0.07083782286922082
2001,8,370485240.02,236017375549.54764,238732469311.08905,644.377814614697,2001-08-01,3,1420.595330099561,0.07552185145752263
2001,9,306928868.01,191759395280.43842,193570495905.1146,630.6689141368348,2001-09-01,3,1390.372688106066,0.052640520522481915
2001,10,294730111.03000003,182265082938.073,182917993625.11777,620.6287948858367,2001-10-01,4,1368.2382412053155,0.035882700186682985
2001,11,278902324.0,170043543145.67734,171528826050.8954,615.013971883918,2001-11-01,4,1355.8598024152857,0.026511078920918592
2001,12,305496328.01,185657956268.04456,186535967157.3875,610.5997030225566,2001-12-01,4,1346.1281052835284,0.019143285506985606
2002,1,319942507.01,191134869500.4345,193824669960.12753,605.8109370070962,2002-01-01,1,1335.5707917258444,0.011150424216091376
2002,2,281820983.0,167214216197.14893,169699374340.67,602.1530850336649,2002-02-01,1,1327.5066912652176,0.00504515547841023
2002,3,302537613.0,181405133049.8713,184065466281.78574,608.4052308622721,2002-03-01,1,1341.2901719589652,0.015480523215561244
2002,4,289825248.01000005,171709349853.62402,174236321427.5525,601.1771666681734,2002-04-01,2,1325.3551816366553,0.003416264005862586
2002,5,307675182.0,182073891607.0185,185339887326.8634,602.3881618338115,2002-05-01,2,1328.024941578821,0.00543751882425202
2002,6,340992314.01000005,204215929253.0834,207292276843.3946,607.908942010099,2002-06-01,2,1340.1960535554645,0.014652174546440699
2002,7,381440773.0,234425531040.83698,237508016823.93954,622.6602755545998,2002-07-01,3,1372.7168434876708,0.03927341569630177
2002,8,374500101.0,231108625707.57513,234653440290.56137,626.577775717506,2002-08-01,3,1381.3533643468138,0.04581205953650504
2002,9,331276269.0,204451072899.85394,208423424665.2749,629.1528979556182,2002-09-01,3,1387.0304788329559,0.0501101594624311
2002,10,307060026.0,190992204210.95377,194041249991.13715,631.9326306288307,2002-10-01,4,1393.1586774843202,0.054749771757336266
2002,11,296289137.01,181431574474.39374,183551132417.03333,619.5000406337487,2002-11-01,4,1365.7497895811623,0.03399871250816218
2002,12,324830122.01,198638025855.895,201541303457.61124,620.4513984432969,2002-12-01,4,1367.8471530080924,0.035586610305878376
2003,1,341978972.03,211192782331.29288,215969815833.60828,631.529519349109,2003-01-01,1,1392.2699783570458,0.05407694445000743
2003,2,299236229.27,183354335871.72964,187297797819.20572,625.9195227667685,2003-02-01,1,1379.902179891618,0.044713378892560295
2003,3,304304174.09,183877023868.85226,186995753090.57294,614.5027541924801,2003-03-01,1,1354.7327718927418,0.025657812738373382
2003,4,285754932.01,169263195063.0155,170215600406.81006,595.6698602173326,2003-04-01,2,1313.2137738351314,-0.00577590291269286
2003,5,307543276.01,179872105121.10333,183306382620.78607,596.0344345646683,2003-05-01,2,1314.0175144412678,-0.005167397051461558
2003,6,328690144.01,197246371315.0582,200200077848.12204,609.0845177336112,2003-06-01,2,1342.7877277955192,0.016614311277414716
2003,7,374385311.01,228180123640.6459,232768642629.67392,621.7355109411773,2003-07-01,3,1370.6781074209196,0.03772990422425436
2003,8,381791755.0,235081824196.19687,238218973595.6981,623.9500211200163,2003-08-01,3,1375.560216561188,0.04142611168763621
2003,9,323136142.0,199441046420.5291,201628350941.97754,623.9733806748783,2003-09-01,3,1375.6117150358368,0.04146510078863337
2003,10,306741565.01,189024720251.86676,193095467678.4302,629.5053872863143,2003-10-01,4,1387.8075768114086,0.050698494394160576
2003,11,297867351.0,183992423680.22,186018465344.73282,624.5010227546986,2003-11-01,4,1376.7749547650087,0.04234578068437838
2003,12,331681238.0,202975983632.1107,205302531882.1737,618.9754148293841,2003-12-01,4,1364.5931995328604,0.0331230670349084
2004,1,346529807.01,211134104219.00717,213873422876.76953,617.1862233790401,2004-01-01,1,1360.648748061432,0.030136753015955756
2004,2,314278080.5500001,188300555347.2092,190626582288.36154,606.5538581461261,2004-02-01,1,1337.2086356689497,0.012390423329676903
2004,3,308811546.65000004,181534685497.58844,183101159693.76352,592.9219994525859,2004-03-01,1,1307.1558399931707,-0.010362318258191781
2004,4,290560477.12999994,169946489601.53964,170124608776.5501,585.5049883485513,2004-04-01,2,1290.8042973132162,-0.02274194606965237
2004,5,327377589.66,192322595997.9389,193526151962.3307,591.1404997615092,2004-05-01,2,1303.2283457742233,-0.013335794071078743
2004,6,345078924.77,204072412840.4577,205191285959.2139,594.6213206036178,2004-06-01,2,1310.902163402736,-0.007526005478442063
2004,7,377330017.11999995,225907984151.04257,226696278261.24866,600.7904698161182,2004-07-01,3,1324.502669756614,0.0027708337864439576
2004,8,368434432.08,220807634508.80048,222022227209.3004,602.6098754013622,2004-08-01,3,1328.513731309843,0.005807577788507172
2004,9,335621196.83,201203197096.54922,201054043523.51642,599.050493301694,2004-09-01,3,1320.6667175329146,-0.00013333628248531873
2004,10,312450856.84999996,187793340290.5576,188282894451.14084,602.6000259667422,2004-10-01,4,1328.49201724628,0.005791138237178789
2004,11,302101954.22,183548134265.308,183582338196.90427,607.6833851369723,2004-11-01,4,1339.6987908729693,0.014275700775475637
2004,12,341943893.41999996,205009214085.1289,206226346539.091,603.0999544296265,2004-12-01,4,1329.5941595355546,0.006625561728805435
2005,1,343119360.43,207125318452.1136,207912380489.91147,605.9476802164528,2005-01-01,1,1335.8722558051918,0.011378660363217894
2005,2,298500100.65000004,178982332900.58154,179120492225.11145,600.0684483357525,2005-02-01,1,1322.910901201,0.0015657179960759252
2005,3,317459370.36999995,190408484723.7011,190290963550.8294,599.418323450477,2005-03-01,1,1321.4776358789218,0.0004806037906650212
2005,4,289562998.93999994,170089188533.41504,168240730410.58475,581.0159827963577,2005-04-01,2,1280.90783567285,-0.030234481431977413
2005,5,315062719.90999997,182168165200.83762,181931515138.83987,577.4453898919237,2005-05-01,2,1273.0361065557352,-0.036194107297858866
2005,6,363629300.03000003,215620119912.2948,216332405799.45114,594.9256723305942,2005-06-01,2,1311.5731372200282,-0.007018016336873504
2005,7,402183355.4500001,240809221609.6049,240741703117.93472,598.5869376632221,2005-07-01,3,1319.6447627723396,-0.0009070504098734631
2005,8,404865404.12,245055945062.98505,244488907003.82883,603.8770033592783,2005-08-01,3,1331.307241605865,0.007922523052639942
2005,9,350213827.6400001,213800934678.1224,213441871537.44247,609.461576590998,2005-09-01,3,1343.6189917525141,0.01724365485692269
2005,10,316388755.6499999,194879536531.65765,193788499750.61057,612.5012229100394,2005-10-01,4,1350.3201960274728,0.022317085323777328
2005,11,306115233.29,184087927299.48322,183934387751.7057,600.8664964982464,2005-11-01,4,1324.670278180034,0.002897728840972876
2005,12,348096281.58,210222509487.74966,209367684326.54648,601.4648687892671,2005-12-01,4,1325.9894497328185,0.003896463526902905
2006,1,328655386.56,190665268702.14594,191494882168.1416,582.6616267346097,2006-01-01,1,1284.5358222991208,-0.027487760525133274
2006,2,307331956.15000004,180537785880.04996,180710789200.97458,587.9986951723782,2006-02-01,1,1296.301923377025,-0.018579735454505156
2006,3,318730128.6700001,186504439425.00775,186309024682.6283,584.5353417327074,2006-03-01,1,1288.6666143839268,-0.024360369454007276
2006,4,297857927.5399999,168323966942.99377,167087471003.81375,560.9636526507264,2006-04-01,2,1236.7004686337916,-0.06370354066264401
2006,5,330613864.21000004,188021960048.3702,187375356714.84906,566.7498462672804,2006-05-01,2,1249.4567110808464,-0.05404588713978186
2006,6,364256054.57,209354429369.49286,208973593217.5448,573.699710947113,2006-06-01,2,1264.7783827540054,-0.04244596678513365
2006,7,410398244.46999997,241639667523.74832,242562121354.25217,591.0408356339434,2006-07-01,3,1303.0086262385917,-0.013502142049814734
2006,8,407714782.4300001,243793741215.51077,243306838894.55807,596.7574622740863,2006-08-01,3,1315.6115013294507,-0.003960601778484577
2006,9,332055836.86,196080300683.24585,196046965883.2054,590.4036132509302,2006-09-01,3,1301.6038057730009,-0.01456572087209047
2006,10,321566538.35999995,194057672408.70807,193506404636.89175,601.7616311192727,2006-10-01,4,1326.6436919655487,0.004391785313859934
2006,11,309159485.3999999,184127319125.4021,184532558421.6756,596.8846732388682,2006-11-01,4,1315.891950622409,-0.0037482757652902723
2006,12,336280555.96999997,199055391552.91528,198240717685.21692,589.5099022701219,2006-12-01,4,1299.6335305447108,-0.01605740116732482
2007,1,353531612.92999995,205170165108.4344,204360302176.0089,578.0538280079431,2007-01-01,1,1274.3774692263114,-0.03517857188649489
2007,2,323227713.04,192838692386.38525,192042884022.23306,594.141146549731,2007-02-01,1,1309.8435716835372,-0.008327457166792004
2007,3,320471481.78999996,185970185654.72797,185984213879.46838,580.3455984309423,2007-03-01,1,1279.4299063008555,-0.031353410447730046
2007,4,303129379.79999995,175119391013.61807,174680506547.893,576.2572623714154,2007-04-01,2,1270.4167606240226,-0.03817719405479318
2007,5,330203076.25,189342200229.5009,190361170725.01703,576.4972661275049,2007-05-01,2,1270.9458729046974,-0.03777660719681698
2007,6,362740734.34999996,212761364576.97382,213466949255.91544,588.483533944512,2007-06-01,2,1297.3707989340712,-0.017770497951231496
2007,7,393215120.51,232328504848.01697,232498749703.38828,591.2762189862826,2007-07-01,3,1303.5275523771588,-0.01310926704206553
2007,8,421756078.51,250589460831.14444,250492173067.62515,593.9266458294469,2007-08-01,3,1309.3706833955987,-0.008685477270195047
2007,9,355388396.13,211989023442.38467,212040637568.42392,596.6447972906243,2007-09-01,3,1315.3631201069104,-0.00414864930100815
2007,10,332611780.63,198575489141.01584,199280198373.8033,599.1375230196197,2007-10-01,4,1320.8585832490537,1.1923782700579036e-05
2007,11,314103249.72,185764107833.79572,185423022797.5718,590.3250697433497,2007-11-01,4,1301.4306487561887,-0.014696816724208703
2007,12,346290851.68,205568066241.5338,204252336653.71832,589.8288553186023,2007-12-01,4,1300.3366944353909,-0.015525041167570867
2008,1,362995432.09999996,214265356380.291,213946744999.4985,589.3923892148573,2008-01-01,1,1299.3744612630744,-0.01625354053758565
2008,2,325104339.33,193215514952.61105,192315278829.73886,591.5494060340043,2008-02-01,1,1304.129820542566,-0.012653294423679391
2008,3,324629448.7800001,188655543897.03195,187657442671.52188,578.0666029430265,2008-03-01,1,1274.4056328481963,-0.0351572494239248
2008,4,305865031.38,175816534930.15952,174972854838.3938,572.0590354802978,2008-04-01,2,1261.1613496198645,-0.045184394886922254
2008,5,325244802.03000003,184412742922.2837,185198260125.88895,569.4118982685742,2008-05-01,2,1255.3254709228988,-0.04960269398171254
2008,6,373058908.02000004,212328712698.31918,212664655538.92657,570.0565003731942,2008-06-01,2,1256.746560722744,-0.04852679777099505
2008,7,402891594.4500001,234248774635.51273,234952030199.90125,583.1643882286539,2008-07-01,3,1285.6442102888905,-0.026648608461465023
2008,8,388981239.9800001,227639294169.22067,228382669917.60208,587.1302943281909,2008-08-01,3,1294.3874468759298,-0.020029170960453077
2008,9,338055551.12,198979351874.46393,199324226873.03806,589.6197421183115,2008-09-01,3,1299.8756834740295,-0.015874069037929057
2008,10,318544602.39000005,184583175901.68417,185202875037.07492,581.4032749182409,2008-10-01,4,1281.761659884754,-0.02958805765614986
2008,11,310046241.41,180783521484.48193,180136211472.30655,580.9978880992059,2008-11-01,4,1280.8679441035092,-0.030264683033803065
2008,12,343898254.6700001,197758268339.27417,196677310672.51895,571.9055214782865,2008-12-01,4,1260.8229126510305,-0.04544062292569574
2009,1,354986833.53000003,203388274663.96777,201948904618.6524,568.8912532627372,2009-01-01,1,1254.1776569430306,-0.05047169516072538
2009,2,300884522.87,168058136441.75516,167859861038.48727,557.887987847792,2009-02-01,1,1229.9198580092425,-0.0688370890690129
2009,3,310602963.96,166527010906.42392,166866138391.5586,537.2329235501047,2009-03-01,1,1184.383703258561,-0.103312163305866
2009,4,289536674.27,154180586042.23944,153882154501.85278,531.4772468456066,2009-04-01,2,1171.6947383958243,-0.11291888148457027
2009,5,311305689.43,163943034050.79044,163624957041.44128,525.6086303499245,2009-05-01,2,1158.7567864694436,-0.12271410586346092
2009,6,347650324.62,188055051146.98413,187969475588.0507,540.6854597173501,2009-06-01,2,1191.9951644928701,-0.09754958426201706
2009,7,372536168.71,205506531863.8274,205913338802.78543,552.733817808381,2009-07-01,3,1218.5569747403567,-0.07743984102258368
2009,8,381209740.05,214247300737.42178,214497694304.0071,562.6763216382491,2009-08-01,3,1240.476218683684,-0.06084494919872829
2009,9,327400612.08,179159118169.72733,179621221640.94965,548.6282401850226,2009-09-01,3,1209.5058183119008,-0.08429240227877358
2009,10,307040340.79999995,172230308553.12628,172449777444.54324,561.6518565450448,2009-10-01,4,1238.2176829392058,-0.06255486932447864
2009,11,296634670.27000004,164725690276.4295,164188242183.4906,553.5032099722015,2009-11-01,4,1220.2531767047155,-0.07615565949776826
2009,12,350506889.56,198320549614.7757,196578604868.70517,560.8409156107464,2009-12-01,4,1236.4298825554515,-0.06390839931154194
2010,1,360956613.17,206884950490.95013,205668623462.10443,569.7876585661571,2010-01-01,1,1256.15387207495,-0.048975517809916075
2010,2,319734233.42999995,181502483417.38495,180291307247.0128,563.8786479411636,2010-02-01,1,1243.1268672510894,-0.05883816345589515
2010,3,312164702.00999993,172280294684.02017,172446417033.2961,552.4212568651402,2010-03-01,1,1217.867902884888,-0.07796153205033678
2010,4,287798345.53999996,155925199898.30502,154945710665.17645,538.3829096531105,2010-04-01,2,1186.9189626212474,-0.10139273784675902
2010,5,327910094.61,177875802235.70505,178734562054.75592,545.0718504635666,2010-05-01,2,1201.6654015319791,-0.09022832181382452
2010,6,375683911.44,208838840739.61517,210348394662.3763,559.9079126282222,2010-06-01,2,1234.3729841801787,-0.06546566132836011
2010,7,409674502.49999994,234255683070.1149,235446271241.7267,574.7154626537363,2010-07-01,3,1267.017708966427,-0.04075059004907725
2010,8,408858106.39,235206344177.79495,235953754949.64566,577.104260040218,2010-08-01,3,1272.2840516846647,-0.03676348228466421
2010,9,346030469.09000003,191110117900.53992,192387130478.38788,555.9832086010592,2010-09-01,3,1225.7205816818953,-0.07201632903600166
2010,10,307917314.77000004,166580098492.41,168249440901.9085,546.4111072402117,2010-10-01,4,1204.6179270217706,-0.08799298736356018
2010,11,306009629.3,165237096663.45007,166291736363.01953,543.4199464357167,2010-11-01,4,1198.0236139121812,-0.09298549134723813
2010,12,362113711.3999999,201604749187.3602,202007631997.60843,557.8568986427186,2010-12-01,4,1229.8513187477377,-0.06888897961931197
2011,1,362865132.90000004,203250040325.44498,203971919539.86508,562.1149596538297,2011-01-01,1,1239.238640052833,-0.06178191050795896
2011,2,313122356.85999995,167625789549.65994,168822691737.4366,539.1588560791233,2011-02-01,1,1188.6296141120354,-0.10009761669607785
2011,3,318705015.71,164834022923.67,166288451232.68118,521.7628936972628,2011-03-01,1,1150.2784754449856,-0.12913297024873147
2011,4,302394150.64,156933848498.04,156726911948.629,518.2868505125692,2011-04-01,2,1142.6151906400103,-0.13493478452128432
2011,5,323619082.25,172694286332.97,173341791876.36194,535.6352618985957,2011-05-01,2,1180.861498381644,-0.10597879765990742
2011,6,367688547.46,200423164339.78488,202446468337.07874,550.5922600406868,2011-06-01,2,1213.8356964856982,-0.08101428465343853
2011,7,418612133.84999996,233030588680.17007,235295836198.8074,562.0855612444341,2011-07-01,3,1239.1738283194795,-0.06183097897522457
2011,8,406478445.41,227286642434.39526,229004957901.31168,563.3877035480263,2011-08-01,3,1242.0445312419788,-0.059657591764403176
2011,9,337918985.38,182939575139.83002,184166789680.18256,545.0027895682792,2011-09-01,3,1201.5131498822284,-0.09034359037254615
2011,10,308690960.47999996,162295139825.99994,162577097493.3761,526.666207654984,2011-10-01,4,1161.0883213961777,-0.12094891861554623
2011,11,304077507.2000001,155572355307.26508,155601154572.45435,511.7154373082623,2011-11-01,4,1128.1278530897953,-0.14590303689728315
2011,12,335731823.55,171837388932.02008,172009719572.7161,512.3426124872519,2011-12-01,4,1129.5105234893956,-0.1448562277204364
2012,1,339519951.19,169498465599.19995,169721131694.97382,499.88559170119447,2012-01-01,1,1102.0477754644535,-0.16564806405557858
2012,2,309384961.71,154020579707.7551,154043294223.74246,497.9016865342471,2012-02-01,1,1097.6740581334013,-0.16895937197133484
2012,3,309075795.98999995,146878125963.3101,147595102513.71768,477.53691627956874,2012-03-01,1,1052.7778856299374,-0.2029499205471194
2012,4,295221056.51,139408326952.62497,139116390363.1689,471.22787245515,2012-04-01,2,1038.868967614624,-0.21348025592035513
2012,5,336496354.22,165069942108.6199,166294283520.39877,494.19341824926937,2012-05-01,2,1089.4988098723393,-0.17514878985802182
2012,6,360809732.68999994,185156454455.15,187013664550.60666,518.316574102187,2012-06-01,2,1142.6807192656815,-0.1348851733003319
2012,7,414625850.71999997,225592372847.38498,227037402827.6651,547.5717503706377,2012-07-01,3,1207.176680867108,-0.08605577441146053
2012,8,395684385.83,212937956888.39996,214256943782.2321,541.4844544163652,2012-08-01,3,1193.7566282063187,-0.09621599356646632
2012,9,334570440.0700001,174985576806.56003,176040286889.4641,526.1680824302119,2012-09-01,3,1159.9901545256453,-0.12178033234807029
2012,10,311632557.66,161949977397.2699,162489188622.19086,521.4127491758136,2012-10-01,4,1149.5065468329988,-0.1297173914926751
2012,11,305948951.26000005,164318994721.755,164108294713.7652,536.3911006653639,2012-11-01,4,1182.5278205268612,-0.1047172379174697
2012,12,334622413.0,171293633124.28506,170350312427.99866,509.0821947661906,2012-12-01,4,1122.3226065815438,-0.15029814459645052
2013,1,348951748.99,177689872988.96002,177802519556.69806,509.53325229441214,2013-01-01,1,1123.3170080082612,-0.14954529088723836
2013,2,309705590.75999993,158621420559.5502,158420417420.08893,511.5193982495899,2013-02-01,1,1127.695665381046,-0.14623024290369632
2013,3,325393208.8899999,167764296621.28503,167784233775.0017,515.6353273239997,2013-03-01,1,1136.7696426184898,-0.1393604041876877
2013,4,299325789.0400001,147441565121.5349,146564959121.39523,489.65028904278336,2013-04-01,2,1079.4830272237202,-0.18273166224243545
2013,5,322147299.96,158293278179.64014,158954390381.4222,493.42145782739476,2013-05-01,2,1087.7969459262745,-0.17643725802585122
2013,6,356813537.60999995,184158897922.76508,185457028333.94403,519.7589463005467,2013-06-01,2,1145.8605730141853,-0.132477730365323
2013,7,394834714.97999996,208940696063.3549,210383202895.07562,532.8386661890468,2013-07-01,3,1174.6961234803725,-0.11064655580907758
2013,8,385278253.21,205028436948.0449,206179714727.54074,535.1449582469953,2013-08-01,3,1179.780574951326,-0.10679715651582321
2013,9,340934163.78000003,179619925835.83994,180937546642.5082,530.7111045617143,2013-09-01,3,1170.0057011167553,-0.11419763868099005
2013,10,314919872.74,160825993826.51,161733573420.4019,513.5705537196449,2013-10-01,4,1132.217642730329,-0.1428066884628908
2013,11,314531737.97,158527077861.24506,158280199791.66446,503.22489174927455,2013-11-01,4,1109.4095963504508,-0.1600744858087378
2013,12,353002655.21,183194667074.06998,183129951870.77344,518.7778311804202,2013-12-01,4,1143.6976066203545,-0.13411529566716746
2014,1,377866469.6499999,200567019354.65494,199825979365.4689,528.8269677660428,2014-01-01,1,1165.851933137018,-0.11734242462631546
2014,2,324989604.40999997,177019105162.875,176360323488.9753,542.6645070975344,2014-02-01,1,1196.3581723472244,-0.09424638440910049
2014,3,332717043.20000005,171405344214.055,171093544521.6679,514.2313807436117,2014-03-01,1,1133.6745019873663,-0.1417037114699058
2014,4,298606913.15000004,142245899401.0549,143326458176.47467,479.9837239684973,2014-04-01,2,1058.1721178609491,-0.19886598861142651
2014,5,325784784.0,158925262171.14493,159534478987.22607,489.69284884473325,2014-05-01,2,1079.576854563099,-0.18266062628192806
2014,6,358929979.25000006,181985654281.79007,183070966123.64316,510.0464622826379,2014-06-01,2,1124.4484307483035,-0.14868869939044219
2014,7,386916892.08000004,201325536063.84015,203003857088.25192,524.6704427840754,2014-07-01,3,1156.6884581617726,-0.12428002139461534
2014,8,385469037.6000001,203222201562.86978,205109025936.60556,532.1024672011309,2014-08-01,3,1173.0730991916132,-0.11187533507578439
2014,9,340923179.54,173596255201.3849,174951854177.46417,513.1708979527962,2014-09-01,3,1131.3365616267345,-0.14347374822279857
2014,10,315466648.71999997,154308218282.81497,154824088431.20554,490.7779920933049,2014-10-01,4,1081.9691613689,-0.18084942910950794
2014,11,318278457.49,156419068041.53,156080847156.05005,490.3908620989655,2014-11-01,4,1081.1156945833793,-0.1814955822805565
2014,12,338710445.47,164508829929.11493,164965776809.46686,487.0407128441454,2014-12-01,4,1073.729955536203,-0.187087268784161
2015,1,361191037.37999994,176784520490.78,177172241911.16748,490.5222543624997,2015-01-01,1,1081.405361967567,-0.18127627732104604
2015,2,335258891.09000003,168992077070.73984,169093533333.866,504.3670364240182,2015-02-01,1,1111.9275685003906,-0.15816814836608833
2015,3,325310503.33,151200311737.55493,151710545072.47577,466.35612290261116,2015-03-01,1,1028.1287085510967,-0.22161162385349387
2015,4,295382039.32000005,129755988441.79,130063070410.74089,440.32152635332704,2015-04-01,2,970.7328369985448,-0.26506559890907305
2015,5,323464197.97999996,150203844859.27496,152239811758.5884,470.65428789124144,2015-05-01,2,1037.6044430850309,-0.21443761776328465
2015,6,363796362.72,180014690278.81503,182714858203.72064,502.24487358151293,2015-06-01,2,1107.2490482978035,-0.1617102202029817
2015,7,401883971.8900001,203298591057.20987,205760496665.22903,511.9898056585045,2015-07-01,3,1128.732725554739,-0.14544509258365051
2015,8,393563699.96,197300017142.71497,200839653830.437,510.3104118871975,2015-08-01,3,1125.0303340465157,-0.14824814485714063
2015,9,351433058.71999997,172846252654.85986,175701388717.74228,499.9569174217336,2015-09-01,3,1102.205020147954,-0.16552901530922062
2015,10,313291653.9699999,145205814371.10986,147659535810.6465,471.3165318626268,2015-10-01,4,1039.0644261443472,-0.21333227576350328
2015,11,301619345.3299999,133277125898.60004,134961243751.8188,447.45552910128663,2015-11-01,4,986.4604594566965,-0.25315833632217527
2015,12,325325091.98999995,137948277144.60013,139502801422.4206,428.81045716175106,2015-12-01,4,945.3555338587964,-0.28427856088322523
2016,1,353691242.99000007,159444111429.08493,160969571466.83716,455.1132510549272,2016-01-01,1,1003.3426732756926,-0.24037694145300034
2016,2,314822845.6500001,134271256793.36499,135626506098.76791,430.8026179572393,2016-02-01,1,949.7474515485299,-0.28095347361521344
2016,3,305889024.11999995,117335115635.97499,118935296173.0364,388.81844981262947,2016-03-01,1,857.189154456923,-0.3510286519200328
2016,4,294568958.4599999,115463371770.56001,116577534877.2667,395.75634678796945,2016-04-01,2,872.4844421287575,-0.3394487066908492
2016,5,318633901.01,130256183010.16495,132116124297.23993,414.6329812316286,2016-05-01,2,914.0998704232485,-0.3079419844454988
2016,6,369680268.84,172702639793.97507,175513596375.90805,474.7713393702153,2016-06-01,2,1046.6808947755767,-0.20756590565777155
2016,7,413857711.44000006,202790764614.9699,205861757639.3741,497.42158222227397,2016-07-01,3,1096.6156201672252,-0.16976070725444797
2016,8,411613836.88000005,203053910402.89496,206196109493.7609,500.9455247100314,2016-08-01,3,1104.3845037757353,-0.16387894493597188
2016,9,353194778.0500001,167791052338.7,170778201709.26834,483.5241411329476,2016-09-01,3,1065.9773215416963,-0.19295672864424654
2016,10,314473312.78999996,142826758981.585,144425135289.32993,459.260386860791,2016-10-01,4,1012.4854488732999,-0.23345501602508123
2016,11,298296665.96999997,126947468219.51497,128057046630.07196,429.2942605096056,2016-11-01,4,946.4221267194765,-0.28347105159189906
2016,12,346486389.33,158411248474.61502,159581945316.22397,460.57204620593393,2016-12-01,4,1015.377133065602,-0.23126574405547873
2017,1,342583029.81000006,153870305007.64993,155338608626.92584,453.4334602419687,2017-01-01,1,999.6394064494442,-0.24318065642306763
2017,2,291483955.78,120343623452.08502,121662739255.30836,417.3908609471952,2017-02-01,1,920.1798920441867,-0.3033388466115916
2017,3,322026000.77,129355664981.36006,130757279519.22263,406.04572055227663,2017-03-01,1,895.1683955295491,-0.3222748591896852
2017,4,295735104.09000003,118185362024.34995,119348780941.62297,403.56650019235445,2017-04-01,2,889.7027063240647,-0.32641289065383344
2017,5,323863224.12000006,134849422266.58493,136542903587.2767,421.6066951049801,2017-05-01,2,929.4741200284391,-0.2963022577409306
2017,6,359550278.54999995,157792573238.99496,160350811260.20828,445.9760451497175,2017-06-01,2,983.1987891370673,-0.25562772195697525
2017,7,403669124.87999994,190009532072.3001,192333929105.05154,476.4643051712892,2017-07-01,3,1050.413207180624,-0.2047402005023046
2017,8,384223331.87,179430473474.44998,181538957089.019,472.48290780644675,2017-08-01,3,1041.6358185500926,-0.21138549425405162
2017,9,336070930.56,149089101501.67496,150495911988.1208,447.80996600136524,2017-09-01,3,987.2418510466099,-0.25256675073007145
2017,10,320208368.98,135530515241.02492,136727089108.36613,426.9941149380328,2017-10-01,4,941.3512257923871,-0.2873101918721072
2017,11,308009001.06,130457508733.29504,131637971926.44124,427.3835227977582,2017-11-01,4,942.2097143599377,-0.2866602367483195
2017,12,347176034.90999997,151920453659.21497,153052348265.01117,440.84940455261443,2017-12-01,4,971.8965972766938,-0.2641845249096817
