year,month,total fuel (mmbtu),generation (mwh),elec fuel (mmbtu),final co2 (kg),index (g/kwh),datetime,quarter,index (lb/mwh),change since 2005
2001,1,2548580000.0,332483912.02000004,2413033000.0,214592901195.1193,645.423412794213,2001-01-01,1,1422.9004558461222,0.07726704451725917
2001,2,2134672000.0,282940199.01,2016862000.0,179944169497.54108,635.9795113142663,2001-02-01,1,1402.0804306434316,0.061504362788732996
2001,3,2271867000.0,300706545.01000005,2145616000.0,188724234737.954,627.6026839777563,2001-03-01,1,1383.6128770973617,0.04752271934607286
2001,4,2119103000.0,278078103.0,2003578000.0,174497697759.13858,627.5132629164209,2001-04-01,2,1383.4157394255417,0.047373467923591345
2001,5,2289648000.0,300485702.02,2174221000.0,188808504317.49658,628.3443872644885,2001-05-01,2,1385.2480361632915,0.048760685759698316
2001,6,2487416000.0,327693488.02000004,2369147000.0,204791605486.63727,624.9486577351158,2001-06-01,2,1377.7618108428364,0.04309292186769696
2001,7,2815471000.0,357589591.0,2688246000.0,229419279837.34442,641.5714707907827,2001-07-01,3,1414.4084645053595,0.07083782286922082
2001,8,2957459000.0,370485240.02,2824768000.0,238732469311.08905,644.377814614697,2001-08-01,3,1420.595330099561,0.07552185145752263
2001,9,2386219000.0,306928868.01,2264095000.0,193570495905.1146,630.6689141368348,2001-09-01,3,1390.372688106066,0.052640520522481915
2001,10,2267312000.0,294730111.03000003,2143420000.0,182917993625.11777,620.6287948858367,2001-10-01,4,1368.2382412053155,0.035882700186682985
2001,11,2080193000.0,278902324.0,1959782000.0,171528826050.8954,615.013971883918,2001-11-01,4,1355.8598024152857,0.026511078920918592
2001,12,2260330000.0,305496328.01,2132972000.0,186535967157.3875,610.5997030225566,2001-12-01,4,1346.1281052835284,0.019143285506985606
2002,1,2319020000.0,319942507.01,2191602000.0,193824669960.12753,605.8109370070962,2002-01-01,1,1335.5707917258444,0.011150424216091376
2002,2,2028942000.0,281820983.0,1918849000.0,169699374340.67,602.1530850336649,2002-02-01,1,1327.5066912652176,0.00504515547841023
2002,3,2221763000.0,302537613.0,2103115000.0,184065466281.78574,608.4052308622721,2002-03-01,1,1341.2901719589652,0.015480523215561244
2002,4,2105637000.0,289825248.01000005,1995353000.0,174236321427.5525,601.1771666681734,2002-04-01,2,1325.3551816366553,0.003416264005862586
2002,5,2222629000.0,307675182.0,2109270000.0,185339887326.8634,602.3881618338115,2002-05-01,2,1328.024941578821,0.00543751882425202
2002,6,2516449000.0,340992314.01000005,2404547000.0,207292276843.3946,607.908942010099,2002-06-01,2,1340.1960535554645,0.014652174546440699
2002,7,2933021000.0,381440773.0,2809647000.0,237508016823.93954,622.6602755545998,2002-07-01,3,1372.7168434876708,0.03927341569630177
2002,8,2884134000.0,374500101.0,2766537000.0,234653440290.56137,626.577775717506,2002-08-01,3,1381.3533643468138,0.04581205953650504
2002,9,2528310000.0,331276269.0,2413508000.0,208423424665.2749,629.1528979556182,2002-09-01,3,1387.0304788329559,0.0501101594624311
2002,10,2329577000.0,307060026.0,2214781000.0,194041249991.13715,631.9326306288307,2002-10-01,4,1393.1586774843202,0.054749771757336266
2002,11,2185494000.0,296289137.01,2071443000.0,183551132417.03333,619.5000406337487,2002-11-01,4,1365.7497895811623,0.03399871250816218
2002,12,2380339000.0,324830122.01,2258441000.0,201541303457.61124,620.4513984432969,2002-12-01,4,1367.8471530080924,0.035586610305878376
2003,1,2537882000.0,341978972.03,2417674000.0,215969815833.60828,631.529519349109,2003-01-01,1,1392.2699783570458,0.05407694445000743
2003,2,2205272000.0,299236229.27,2099089000.0,187297797819.20572,625.9195227667685,2003-02-01,1,1379.902179891618,0.044713378892560295
2003,3,2222389000.0,304304174.09,2114090000.0,186995753090.57294,614.5027541924801,2003-03-01,1,1354.7327718927418,0.025657812738373382
2003,4,2053570000.0,285754932.01,1951359000.0,170215600406.81006,595.6698602173326,2003-04-01,2,1313.2137738351314,-0.00577590291269286
2003,5,2185942000.0,307543276.01,2083972000.0,183306382620.78607,596.0344345646683,2003-05-01,2,1314.0175144412678,-0.005167397051461558
2003,6,2391427000.0,328690144.01,2290540000.0,200200077848.12204,609.0845177336112,2003-06-01,2,1342.7877277955192,0.016614311277414716
2003,7,2816654000.0,374385311.01,2705043000.0,232768642629.67392,621.7355109411773,2003-07-01,3,1370.6781074209196,0.03772990422425436
2003,8,2916775000.0,381791755.0,2804099000.0,238218973595.6981,623.9500211200163,2003-08-01,3,1375.560216561188,0.04142611168763621
2003,9,2427283000.0,323136142.0,2323151000.0,201628350941.97754,623.9733806748783,2003-09-01,3,1375.6117150358368,0.04146510078863337
2003,10,2287511000.0,306741565.01,2182859000.0,193095467678.4302,629.5053872863143,2003-10-01,4,1387.8075768114086,0.050698494394160576
2003,11,2199132000.0,297867351.0,2098297000.0,186018465344.73282,624.5010227546986,2003-11-01,4,1376.7749547650087,0.04234578068437838
2003,12,2409773000.0,331681238.0,2297316000.0,205302531882.1737,618.9754148293841,2003-12-01,4,1364.5931995328604,0.0331230670349084
2004,1,2563643030.0,346529807.01,2400100610.0,213873422876.76953,617.1862233790401,2004-01-01,1,1360.648748061432,0.030136753015955756
2004,2,2302885370.0,314278080.5500001,2154337370.0,190626582288.36154,606.5538581461261,2004-02-01,1,1337.2086356689497,0.012390423329676903
2004,3,2227099610.0,308811546.65000004,2082643910.0,183101159693.76352,592.9219994525859,2004-03-01,1,1307.1558399931707,-0.010362318258191781
2004,4,2103783340.0,290560477.12999994,1964574220.0,170124608776.5501,585.5049883485513,2004-04-01,2,1290.8042973132162,-0.02274194606965237
2004,5,2394255000.0,327377589.66,2245299920.0,193526151962.3307,591.1404997615092,2004-05-01,2,1303.2283457742233,-0.013335794071078743
2004,6,2528456500.0,345078924.77,2381590580.0,205191285959.2139,594.6213206036178,2004-06-01,2,1310.902163402736,-0.007526005478442063
2004,7,2826924640.0,377330017.11999995,2665656040.0,226696278261.24866,600.7904698161182,2004-07-01,3,1324.502669756614,0.0027708337864439576
2004,8,2757911600.0,368434432.08,2602388390.0,222022227209.3004,602.6098754013622,2004-08-01,3,1328.513731309843,0.005807577788507172
2004,9,2499166950.0,335621196.83,2354901030.0,201054043523.51642,599.050493301694,2004-09-01,3,1320.6667175329146,-0.00013333628248531873
2004,10,2312719860.0,312450856.84999996,2170673210.0,188282894451.14084,602.6000259667422,2004-10-01,4,1328.49201724628,0.005791138237178789
2004,11,2244329660.0,302101954.22,2095306650.0,183582338196.90427,607.6833851369723,2004-11-01,4,1339.6987908729693,0.014275700775475637
2004,12,2493113470.0,341943893.41999996,2332978800.0,206226346539.091,603.0999544296265,2004-12-01,4,1329.5941595355546,0.006625561728805435
2005,1,2509957370.0,343119360.43,2357408260.0,207912380489.91147,605.9476802164528,2005-01-01,1,1335.8722558051918,0.011378660363217894
2005,2,2162372960.0,298500100.65000004,2028822130.0,179120492225.11145,600.0684483357525,2005-02-01,1,1322.910901201,0.0015657179960759252
2005,3,2318387920.0,317459370.36999995,2174626580.0,190290963550.8294,599.418323450477,2005-03-01,1,1321.4776358789218,0.0004806037906650212
2005,4,2096297580.0,289562998.93999994,1963515720.0,168240730410.58475,581.0159827963577,2005-04-01,2,1280.90783567285,-0.030234481431977413
2005,5,2234693680.0,315062719.90999997,2104421480.0,181931515138.83987,577.4453898919237,2005-05-01,2,1273.0361065557352,-0.036194107297858866
2005,6,2688348290.0,363629300.03000003,2543014630.0,216332405799.45114,594.9256723305942,2005-06-01,2,1311.5731372200282,-0.007018016336873504
2005,7,3054869780.0,402183355.4500001,2895040730.0,240741703117.93472,598.5869376632221,2005-07-01,3,1319.6447627723396,-0.0009070504098734631
2005,8,3107973420.0,404865404.12,2949069430.0,244488907003.82883,603.8770033592783,2005-08-01,3,1331.307241605865,0.007922523052639942
2005,9,2657675220.0,350213827.6400001,2514673480.0,213441871537.44247,609.461576590998,2005-09-01,3,1343.6189917525141,0.01724365485692269
2005,10,2378282910.0,316388755.6499999,2246801460.0,193788499750.61057,612.5012229100394,2005-10-01,4,1350.3201960274728,0.022317085323777328
2005,11,2226578960.0,306115233.29,2101632640.0,183934387751.7057,600.8664964982464,2005-11-01,4,1324.670278180034,0.002897728840972876
2005,12,2549416000.0,348096281.58,2400845470.0,209367684326.54648,601.4648687892671,2005-12-01,4,1325.9894497328185,0.003896463526902905
2006,1,2287466430.0,328655386.56,2145924810.0,191494882168.1416,582.6616267346097,2006-01-01,1,1284.5358222991208,-0.027487760525133274
2006,2,2180234200.0,307331956.15000004,2053017840.0,180710789200.97458,587.9986951723782,2006-02-01,1,1296.301923377025,-0.018579735454505156
2006,3,2276532380.0,318730128.6700001,2140380630.0,186309024682.6283,584.5353417327074,2006-03-01,1,1288.6666143839268,-0.024360369454007276
2006,4,2083881150.0,297857927.5399999,1957418580.0,167087471003.81375,560.9636526507264,2006-04-01,2,1236.7004686337916,-0.06370354066264401
2006,5,2331409940.0,330613864.21000004,2200963150.0,187375356714.84906,566.7498462672804,2006-05-01,2,1249.4567110808464,-0.05404588713978186
2006,6,2618596010.0,364256054.57,2484839830.0,208973593217.5448,573.699710947113,2006-06-01,2,1264.7783827540054,-0.04244596678513365
2006,7,3079757420.0,410398244.46999997,2933530140.0,242562121354.25217,591.0408356339434,2006-07-01,3,1303.0086262385917,-0.013502142049814734
2006,8,3094012840.0,407714782.4300001,2947470960.0,243306838894.55807,596.7574622740863,2006-08-01,3,1315.6115013294507,-0.003960601778484577
2006,9,2435295390.0,332055836.86,2304551820.0,196046965883.2054,590.4036132509302,2006-09-01,3,1301.6038057730009,-0.01456572087209047
2006,10,2411561510.0,321566538.35999995,2276963180.0,193506404636.89175,601.7616311192727,2006-10-01,4,1326.6436919655487,0.004391785313859934
2006,11,2245203320.0,309159485.3999999,2114579240.0,184532558421.6756,596.8846732388682,2006-11-01,4,1315.891950622409,-0.0037482757652902723
2006,12,2420370410.0,336280555.96999997,2278239050.0,198240717685.21692,589.5099022701219,2006-12-01,4,1299.6335305447108,-0.01605740116732482
2007,1,2498314730.0,353531612.92999995,2362176370.0,204360302176.0089,578.0538280079431,2007-01-01,1,1274.3774692263114,-0.03517857188649489
2007,2,2358989640.0,323227713.04,2227922610.0,192042884022.23306,594.141146549731,2007-02-01,1,1309.8435716835372,-0.008327457166792004
2007,3,2270799080.0,320471481.78999996,2141851120.0,185984213879.46838,580.3455984309423,2007-03-01,1,1279.4299063008555,-0.031353410447730046
2007,4,2165367080.0,303129379.79999995,2044031200.0,174680506547.893,576.2572623714154,2007-04-01,2,1270.4167606240226,-0.03817719405479318
2007,5,2341124690.0,330203076.25,2220028240.0,190361170725.01703,576.4972661275049,2007-05-01,2,1270.9458729046974,-0.03777660719681698
2007,6,2644984360.0,362740734.34999996,2520722840.0,213466949255.91544,588.483533944512,2007-06-01,2,1297.3707989340712,-0.017770497951231496
2007,7,2914697400.0,393215120.51,2786214660.0,232498749703.38828,591.2762189862826,2007-07-01,3,1303.5275523771588,-0.01310926704206553
2007,8,3217570130.0,421756078.51,3077136590.0,250492173067.62515,593.9266458294469,2007-08-01,3,1309.3706833955987,-0.008685477270195047
2007,9,2661025660.0,355388396.13,2537135080.0,212040637568.42392,596.6447972906243,2007-09-01,3,1315.3631201069104,-0.00414864930100815
2007,10,2484311870.0,332611780.63,2360450970.0,199280198373.8033,599.1375230196197,2007-10-01,4,1320.8585832490537,1.1923782700579036e-05
2007,11,2275273310.0,314103249.72,2152054870.0,185423022797.5718,590.3250697433497,2007-11-01,4,1301.4306487561887,-0.014696816724208703
2007,12,2515331670.0,346290851.68,2381274700.0,204252336653.71832,589.8288553186023,2007-12-01,4,1300.3366944353909,-0.015525041167570867
2008,1,2619344970.0,362995432.09999996,2492030630.0,213946744999.4985,589.3923892148573,2008-01-01,1,1299.3744612630744,-0.01625354053758565
2008,2,2343313140.0,325104339.33,2226709370.0,192315278829.73886,591.5494060340043,2008-02-01,1,1304.129820542566,-0.012653294423679391
2008,3,2304617590.0,324629448.7800001,2186689530.0,187657442671.52188,578.0666029430265,2008-03-01,1,1274.4056328481963,-0.0351572494239248
2008,4,2164937390.0,305865031.38,2055062880.0,174972854838.3938,572.0590354802978,2008-04-01,2,1261.1613496198645,-0.045184394886922254
2008,5,2260574270.0,325244802.03000003,2148443450.0,185198260125.88895,569.4118982685742,2008-05-01,2,1255.3254709228988,-0.04960269398171254
2008,6,2646305330.0,373058908.02000004,2530418050.0,212664655538.92657,570.0565003731942,2008-06-01,2,1256.746560722744,-0.04852679777099505
2008,7,2934015830.0,402891594.4500001,2813377250.0,234952030199.90125,583.1643882286539,2008-07-01,3,1285.6442102888905,-0.026648608461465023
2008,8,2852864310.0,388981239.9800001,2732550950.0,228382669917.60208,587.1302943281909,2008-08-01,3,1294.3874468759298,-0.020029170960453077
2008,9,2466487510.0,338055551.12,2358869460.0,199324226873.03806,589.6197421183115,2008-09-01,3,1299.8756834740295,-0.015874069037929057
2008,10,2294335950.0,318544602.39000005,2182434200.0,185202875037.07492,581.4032749182409,2008-10-01,4,1281.761659884754,-0.02958805765614986
2008,11,2213905440.0,310046241.41,2102614360.0,180136211472.30655,580.9978880992059,2008-11-01,4,1280.8679441035092,-0.030264683033803065
2008,12,2408918590.0,343898254.6700001,2290948310.0,196677310672.51895,571.9055214782865,2008-12-01,4,1260.8229126510305,-0.04544062292569574
2009,1,2486572400.0,354986833.53000003,2360196650.0,201948904618.6524,568.8912532627372,2009-01-01,1,1254.1776569430306,-0.05047169516072538
2009,2,2077659230.0,300884522.87,1967966610.0,167859861038.48727,557.887987847792,2009-02-01,1,1229.9198580092425,-0.0688370890690129
2009,3,2085452170.0,310602963.96,1970254950.0,166866138391.5586,537.2329235501047,2009-03-01,1,1184.383703258561,-0.103312163305866
2009,4,1923026550.0,289536674.27,1818734870.0,153882154501.85278,531.4772468456066,2009-04-01,2,1171.6947383958243,-0.11291888148457027
2009,5,2060079400.0,311305689.43,1951365400.0,163624957041.44128,525.6086303499245,2009-05-01,2,1158.7567864694436,-0.12271410586346092
